[685591.240648] cpu=0	jifd=171323153	cycled=431	insd=2879	cml2=119	bmd=157
[685591.349919] cpu=0	jifd=28	cycled=151771	insd=315262	cml2=3156	bmd=10025
[685591.457915] cpu=0	jifd=27	cycled=129768	insd=212286	cml2=763	bmd=5459
[685591.565909] cpu=0	jifd=27	cycled=125587	insd=211052	cml2=571	bmd=5577
[685591.673964] cpu=0	jifd=27	cycled=137043	insd=326712	cml2=1171	bmd=10661
[685591.781915] cpu=0	jifd=27	cycled=136532	insd=293459	cml2=858	bmd=8888
[685591.889915] cpu=0	jifd=27	cycled=132117	insd=258496	cml2=787	bmd=7555
[685591.997922] cpu=0	jifd=27	cycled=173639	insd=264793	cml2=676	bmd=7625
[685592.105911] cpu=0	jifd=27	cycled=244284	insd=339739	cml2=1089	bmd=10584
[685592.213912] cpu=0	jifd=27	cycled=132069	insd=237828	cml2=597	bmd=6626
[685592.321912] cpu=0	jifd=27	cycled=127540	insd=228591	cml2=624	bmd=6112
[685592.429951] cpu=0	jifd=27	cycled=127678	insd=231868	cml2=800	bmd=6525
[685592.537917] cpu=0	jifd=27	cycled=131506	insd=279801	cml2=822	bmd=8550
[685592.645937] cpu=0	jifd=27	cycled=145852	insd=400054	cml2=1206	bmd=12862
[685592.753910] cpu=0	jifd=27	cycled=132738	insd=254046	cml2=718	bmd=7331
[685592.861909] cpu=0	jifd=27	cycled=135357	insd=320045	cml2=701	bmd=9756
[685592.969904] cpu=0	jifd=27	cycled=123122	insd=189596	cml2=482	bmd=4592
[685593.081905] cpu=0	jifd=28	cycled=197588	insd=308916	cml2=900	bmd=9835
[685593.189900] cpu=0	jifd=27	cycled=232329	insd=358758	cml2=992	bmd=11342
[685593.297906] cpu=0	jifd=27	cycled=126337	insd=200451	cml2=574	bmd=5004
[685593.405911] cpu=0	jifd=27	cycled=127490	insd=232298	cml2=554	bmd=6464
[685593.513911] cpu=0	jifd=27	cycled=134827	insd=300714	cml2=796	bmd=9348
[685593.621910] cpu=0	jifd=27	cycled=136015	insd=312138	cml2=762	bmd=9711
[685593.729922] cpu=0	jifd=27	cycled=125086	insd=217413	cml2=575	bmd=5215
[685593.837909] cpu=0	jifd=27	cycled=128939	insd=251270	cml2=549	bmd=7221
[685593.945908] cpu=0	jifd=27	cycled=133704	insd=279915	cml2=746	bmd=8306
[685594.053895] cpu=0	jifd=27	cycled=137293	insd=313788	cml2=714	bmd=10071
[685594.161914] cpu=0	jifd=27	cycled=203423	insd=295580	cml2=634	bmd=9335
[685594.269909] cpu=0	jifd=27	cycled=235649	insd=465975	cml2=1111	bmd=15910
[685594.377903] cpu=0	jifd=27	cycled=129192	insd=213292	cml2=532	bmd=5422
[685594.485894] cpu=0	jifd=27	cycled=123343	insd=203700	cml2=402	bmd=5295
[685594.593907] cpu=0	jifd=27	cycled=134905	insd=313818	cml2=700	bmd=9946
[685594.701930] cpu=0	jifd=27	cycled=130568	insd=261309	cml2=732	bmd=7712
[685594.809908] cpu=0	jifd=27	cycled=134767	insd=293014	cml2=660	bmd=9156
[685594.917910] cpu=0	jifd=27	cycled=130091	insd=263461	cml2=630	bmd=8012
[685595.025904] cpu=0	jifd=27	cycled=136040	insd=301591	cml2=651	bmd=9553
[685595.133895] cpu=0	jifd=27	cycled=133084	insd=278507	cml2=657	bmd=8518
[685595.241901] cpu=0	jifd=27	cycled=204169	insd=312316	cml2=689	bmd=9958
[685595.349911] cpu=0	jifd=27	cycled=221910	insd=377097	cml2=2230	bmd=12395
[685595.457943] cpu=0	jifd=27	cycled=141868	insd=300655	cml2=822	bmd=8840
[685595.565894] cpu=0	jifd=27	cycled=135521	insd=322407	cml2=800	bmd=10505
[685595.673904] cpu=0	jifd=27	cycled=136577	insd=289833	cml2=712	bmd=8775
[685595.781893] cpu=0	jifd=27	cycled=126834	insd=227777	cml2=618	bmd=6367
[685595.889905] cpu=0	jifd=27	cycled=134472	insd=291184	cml2=665	bmd=9140
[685595.997899] cpu=0	jifd=27	cycled=136500	insd=299696	cml2=623	bmd=9301
[685596.105891] cpu=0	jifd=27	cycled=150753	insd=424484	cml2=761	bmd=14108
[685596.213903] cpu=0	jifd=27	cycled=132692	insd=265350	cml2=792	bmd=8267
[685596.321912] cpu=0	jifd=27	cycled=213514	insd=314689	cml2=1317	bmd=10639
[685596.429907] cpu=0	jifd=27	cycled=221044	insd=422171	cml2=1201	bmd=14126
[685596.537902] cpu=0	jifd=27	cycled=131061	insd=225859	cml2=551	bmd=6132
[685596.645934] cpu=0	jifd=27	cycled=149246	insd=439545	cml2=1319	bmd=14588
[685596.753900] cpu=0	jifd=27	cycled=139515	insd=314386	cml2=736	bmd=9718
[685596.861902] cpu=0	jifd=27	cycled=131385	insd=262492	cml2=651	bmd=7932
[685596.969899] cpu=0	jifd=27	cycled=139264	insd=339920	cml2=818	bmd=11220
[685597.077904] cpu=0	jifd=27	cycled=138614	insd=325818	cml2=682	bmd=11072
[685597.185896] cpu=0	jifd=27	cycled=141072	insd=324872	cml2=758	bmd=10613
[685597.293900] cpu=0	jifd=27	cycled=139370	insd=323874	cml2=741	bmd=10317
[685597.401912] cpu=0	jifd=27	cycled=222939	insd=342597	cml2=846	bmd=11352
[685597.509933] cpu=0	jifd=27	cycled=218753	insd=439624	cml2=1047	bmd=14591
[685597.617892] cpu=0	jifd=27	cycled=136420	insd=261558	cml2=671	bmd=7340
[685597.725895] cpu=0	jifd=27	cycled=133891	insd=293578	cml2=667	bmd=8979
[685597.833900] cpu=0	jifd=27	cycled=138412	insd=357763	cml2=745	bmd=11901
[685597.941887] cpu=0	jifd=27	cycled=136345	insd=299894	cml2=642	bmd=9769
[685598.049902] cpu=0	jifd=27	cycled=136753	insd=315548	cml2=705	bmd=10150
[685598.157897] cpu=0	jifd=27	cycled=138299	insd=322947	cml2=734	bmd=10967
[685598.265899] cpu=0	jifd=27	cycled=145128	insd=371122	cml2=810	bmd=12529
[685598.373901] cpu=0	jifd=27	cycled=139064	insd=327340	cml2=752	bmd=10893
[685598.481923] cpu=0	jifd=27	cycled=229843	insd=358280	cml2=815	bmd=11862
[685598.589910] cpu=0	jifd=27	cycled=217557	insd=482078	cml2=2331	bmd=15711
[685598.697924] cpu=0	jifd=27	cycled=133159	insd=249069	cml2=832	bmd=6915
[685598.805897] cpu=0	jifd=27	cycled=129669	insd=239458	cml2=584	bmd=6572
[685598.913933] cpu=0	jifd=27	cycled=128028	insd=241338	cml2=617	bmd=6724
[685599.021899] cpu=0	jifd=27	cycled=141058	insd=347246	cml2=774	bmd=11268
[685599.129896] cpu=0	jifd=27	cycled=131128	insd=248304	cml2=639	bmd=7279
[685599.237898] cpu=0	jifd=27	cycled=143880	insd=382986	cml2=811	bmd=13448
[685599.345883] cpu=0	jifd=27	cycled=143130	insd=356089	cml2=799	bmd=12145
[685599.457882] cpu=0	jifd=28	cycled=144020	insd=371362	cml2=925	bmd=12461
[685599.565946] cpu=0	jifd=27	cycled=235548	insd=267045	cml2=800	bmd=8029
[685599.673897] cpu=0	jifd=27	cycled=196373	insd=436136	cml2=1920	bmd=14569
[685599.781896] cpu=0	jifd=27	cycled=133906	insd=242305	cml2=555	bmd=6659
[685599.889897] cpu=0	jifd=27	cycled=134015	insd=304672	cml2=724	bmd=9754
[685599.997886] cpu=0	jifd=27	cycled=139470	insd=325330	cml2=1521	bmd=10483
[685600.105897] cpu=0	jifd=27	cycled=145152	insd=348809	cml2=908	bmd=11426
[685600.213884] cpu=0	jifd=27	cycled=134175	insd=277369	cml2=847	bmd=8782
[685600.321894] cpu=0	jifd=27	cycled=131596	insd=266725	cml2=689	bmd=8287
[685600.429897] cpu=0	jifd=27	cycled=143982	insd=393923	cml2=839	bmd=12940
[685600.537893] cpu=0	jifd=27	cycled=138418	insd=309256	cml2=779	bmd=10086
[685600.645901] cpu=0	jifd=27	cycled=255554	insd=425450	cml2=1285	bmd=13741
[685600.753896] cpu=0	jifd=27	cycled=181662	insd=325043	cml2=939	bmd=9728
[685600.861890] cpu=0	jifd=27	cycled=130148	insd=234292	cml2=562	bmd=6324
[685600.969881] cpu=0	jifd=27	cycled=140474	insd=364627	cml2=832	bmd=12155
